dataset,case,index,counterfactual,description,y_true,target_label,threshold,base_probability,counterfactual_probability,probability_delta,base_target_confidence,counterfactual_target_confidence,target_confidence_delta,pred_label_after,prediction_changed
kepler,positivo_correcto_alta_confianza,1132,erase_global_transit,Aplana ventana central global,1,1,0.5000000000000001,0.9969246983528137,0.41924920678138733,-0.5776754915714264,0.9969246983528137,0.41924920678138733,-0.5776754915714264,0,1
kepler,positivo_correcto_alta_confianza,1132,erase_local_transit,Aplana ventana central local,1,1,0.5000000000000001,0.9969246983528137,0.9815847873687744,-0.015339910984039307,0.9969246983528137,0.9815847873687744,-0.015339910984039307,1,0
kepler,positivo_correcto_alta_confianza,1132,erase_both_transits,Aplana ventanas centrales global y local,1,1,0.5000000000000001,0.9969246983528137,0.03373934328556061,-0.9631853550672531,0.9969246983528137,0.03373934328556061,-0.9631853550672531,0,1
kepler,positivo_correcto_alta_confianza,1132,deepen_local_transit,Profundiza valores negativos locales,1,1,0.5000000000000001,0.9969246983528137,0.9945801496505737,-0.0023445487022399902,0.9969246983528137,0.9945801496505737,-0.0023445487022399902,1,0
kepler,positivo_correcto_alta_confianza,1132,shallow_local_transit,Reduce valores negativos locales,1,1,0.5000000000000001,0.9969246983528137,0.9945862293243408,-0.0023384690284729004,0.9969246983528137,0.9945862293243408,-0.0023384690284729004,1,0
kepler,positivo_correcto_alta_confianza,1132,deepen_both_transits,Profundiza valores negativos globales y locales,1,1,0.5000000000000001,0.9969246983528137,0.9907938838005066,-0.006130814552307129,0.9969246983528137,0.9907938838005066,-0.006130814552307129,1,0
kepler,positivo_correcto_alta_confianza,1132,shallow_both_transits,Reduce valores negativos globales y locales,1,1,0.5000000000000001,0.9969246983528137,0.9921850562095642,-0.004739642143249512,0.9969246983528137,0.9921850562095642,-0.004739642143249512,1,0
kepler,negativo_correcto_alta_confianza,1365,erase_global_transit,Aplana ventana central global,0,0,0.5000000000000001,2.1046115298960658e-19,1.010435045563335e-20,-2.0035680253397323e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,erase_local_transit,Aplana ventana central local,0,0,0.5000000000000001,2.1046115298960658e-19,2.0034684599358448e-18,1.7930073069462382e-18,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,erase_both_transits,Aplana ventanas centrales global y local,0,0,0.5000000000000001,2.1046115298960658e-19,1.0430472874480917e-19,-1.0615642424479741e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,deepen_local_transit,Profundiza valores negativos locales,0,0,0.5000000000000001,2.1046115298960658e-19,2.1324683879874376e-19,2.7856858091371744e-21,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,shallow_local_transit,Reduce valores negativos locales,0,0,0.5000000000000001,2.1046115298960658e-19,1.4300076125027119e-18,1.2195464595131053e-18,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,deepen_both_transits,Profundiza valores negativos globales y locales,0,0,0.5000000000000001,2.1046115298960658e-19,9.239407109412716e-20,-1.1806708189547942e-19,1.0,1.0,0.0,0,0
kepler,negativo_correcto_alta_confianza,1365,shallow_both_transits,Reduce valores negativos globales y locales,0,0,0.5000000000000001,2.1046115298960658e-19,5.500482239778554e-19,3.3958707098824885e-19,1.0,1.0,0.0,0,0
kepler,cerca_del_umbral,275,erase_global_transit,Aplana ventana central global,1,0,0.5000000000000001,0.4931982159614563,0.17990469932556152,-0.3132935166358948,0.5068017840385437,0.8200953006744385,0.3132935166358948,0,0
kepler,cerca_del_umbral,275,erase_local_transit,Aplana ventana central local,1,0,0.5000000000000001,0.4931982159614563,0.34312933683395386,-0.15006887912750244,0.5068017840385437,0.6568706631660461,0.15006887912750244,0,0
kepler,cerca_del_umbral,275,erase_both_transits,Aplana ventanas centrales global y local,1,0,0.5000000000000001,0.4931982159614563,0.09816893190145493,-0.3950292840600014,0.5068017840385437,0.9018310680985451,0.3950292840600014,0,0
kepler,cerca_del_umbral,275,deepen_local_transit,Profundiza valores negativos locales,1,0,0.5000000000000001,0.4931982159614563,0.12083750218153,-0.3723607137799263,0.5068017840385437,0.87916249781847,0.3723607137799263,0,0
kepler,cerca_del_umbral,275,shallow_local_transit,Reduce valores negativos locales,1,0,0.5000000000000001,0.4931982159614563,0.7868653535842896,0.29366713762283325,0.5068017840385437,0.21313464641571045,-0.29366713762283325,1,1
kepler,cerca_del_umbral,275,deepen_both_transits,Profundiza valores negativos globales y locales,1,0,0.5000000000000001,0.4931982159614563,0.12241193652153015,-0.37078627943992615,0.5068017840385437,0.8775880634784698,0.37078627943992615,0,0
kepler,cerca_del_umbral,275,shallow_both_transits,Reduce valores negativos globales y locales,1,0,0.5000000000000001,0.4931982159614563,0.7897176146507263,0.29651939868927,0.5068017840385437,0.21028238534927368,-0.29651939868927,1,1
kepler,falso_positivo,677,erase_global_transit,Aplana ventana central global,0,1,0.5000000000000001,0.9931057095527649,0.31462734937667847,-0.6784783601760864,0.9931057095527649,0.31462734937667847,-0.6784783601760864,0,1
kepler,falso_positivo,677,erase_local_transit,Aplana ventana central local,0,1,0.5000000000000001,0.9931057095527649,0.9563166499137878,-0.03678905963897705,0.9931057095527649,0.9563166499137878,-0.03678905963897705,1,0
kepler,falso_positivo,677,erase_both_transits,Aplana ventanas centrales global y local,0,1,0.5000000000000001,0.9931057095527649,0.0969337671995163,-0.8961719423532486,0.9931057095527649,0.0969337671995163,-0.8961719423532486,0,1
kepler,falso_positivo,677,deepen_local_transit,Profundiza valores negativos locales,0,1,0.5000000000000001,0.9931057095527649,0.9838449954986572,-0.009260714054107666,0.9931057095527649,0.9838449954986572,-0.009260714054107666,1,0
kepler,falso_positivo,677,shallow_local_transit,Reduce valores negativos locales,0,1,0.5000000000000001,0.9931057095527649,0.9880619049072266,-0.00504380464553833,0.9931057095527649,0.9880619049072266,-0.00504380464553833,1,0
kepler,falso_positivo,677,deepen_both_transits,Profundiza valores negativos globales y locales,0,1,0.5000000000000001,0.9931057095527649,0.5831853747367859,-0.409920334815979,0.9931057095527649,0.5831853747367859,-0.409920334815979,1,0
kepler,falso_positivo,677,shallow_both_transits,Reduce valores negativos globales y locales,0,1,0.5000000000000001,0.9931057095527649,0.9543931484222412,-0.03871256113052368,0.9931057095527649,0.9543931484222412,-0.03871256113052368,1,0
kepler,falso_negativo,1343,erase_global_transit,Aplana ventana central global,1,0,0.5000000000000001,0.0015448675258085132,0.0002908668539021164,-0.0012540006719063967,0.9984551324741915,0.9997091331460979,0.0012540006719063967,0,0
kepler,falso_negativo,1343,erase_local_transit,Aplana ventana central local,1,0,0.5000000000000001,0.0015448675258085132,0.00019874831195920706,-0.001346119213849306,0.9984551324741915,0.9998012516880408,0.001346119213849306,0,0
kepler,falso_negativo,1343,erase_both_transits,Aplana ventanas centrales global y local,1,0,0.5000000000000001,0.0015448675258085132,5.0207265303470194e-05,-0.001494660260505043,0.9984551324741915,0.9999497927346965,0.001494660260505043,0,0
kepler,falso_negativo,1343,deepen_local_transit,Profundiza valores negativos locales,1,0,0.5000000000000001,0.0015448675258085132,0.004938029684126377,0.003393162158317864,0.9984551324741915,0.9950619703158736,-0.003393162158317864,0,0
kepler,falso_negativo,1343,shallow_local_transit,Reduce valores negativos locales,1,0,0.5000000000000001,0.0015448675258085132,0.00043326581362634897,-0.0011116017121821642,0.9984551324741915,0.9995667341863737,0.0011116017121821642,0,0
kepler,falso_negativo,1343,deepen_both_transits,Profundiza valores negativos globales y locales,1,0,0.5000000000000001,0.0015448675258085132,0.4944239854812622,0.4928791179554537,0.9984551324741915,0.5055760145187378,-0.4928791179554537,0,0
kepler,falso_negativo,1343,shallow_both_transits,Reduce valores negativos globales y locales,1,0,0.5000000000000001,0.0015448675258085132,0.0001690680073807016,-0.0013757995184278116,0.9984551324741915,0.9998309319926193,0.0013757995184278116,0,0
kepler,mayor_incertidumbre_mc_dropout,1053,erase_global_transit,Aplana ventana central global,1,1,0.5000000000000001,0.6035246849060059,0.22831885516643524,-0.3752058297395706,0.6035246849060059,0.22831885516643524,-0.3752058297395706,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,erase_local_transit,Aplana ventana central local,1,1,0.5000000000000001,0.6035246849060059,0.20149844884872437,-0.4020262360572815,0.6035246849060059,0.20149844884872437,-0.4020262360572815,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,erase_both_transits,Aplana ventanas centrales global y local,1,1,0.5000000000000001,0.6035246849060059,0.09568444639444351,-0.5078402385115623,0.6035246849060059,0.09568444639444351,-0.5078402385115623,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,deepen_local_transit,Profundiza valores negativos locales,1,1,0.5000000000000001,0.6035246849060059,0.15765270590782166,-0.4458719789981842,0.6035246849060059,0.15765270590782166,-0.4458719789981842,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,shallow_local_transit,Reduce valores negativos locales,1,1,0.5000000000000001,0.6035246849060059,0.632811963558197,0.029287278652191162,0.6035246849060059,0.632811963558197,0.029287278652191162,1,0
kepler,mayor_incertidumbre_mc_dropout,1053,deepen_both_transits,Profundiza valores negativos globales y locales,1,1,0.5000000000000001,0.6035246849060059,0.17543929815292358,-0.4280853867530823,0.6035246849060059,0.17543929815292358,-0.4280853867530823,0,1
kepler,mayor_incertidumbre_mc_dropout,1053,shallow_both_transits,Reduce valores negativos globales y locales,1,1,0.5000000000000001,0.6035246849060059,0.643630862236023,0.04010617733001709,0.6035246849060059,0.643630862236023,0.04010617733001709,1,0
tess,positivo_correcto_alta_confianza,693,erase_global_transit,Aplana ventana central global,1,1,0.7500000000000002,0.9996888637542725,0.967556893825531,-0.032131969928741455,0.9996888637542725,0.967556893825531,-0.032131969928741455,1,0
tess,positivo_correcto_alta_confianza,693,erase_local_transit,Aplana ventana central local,1,1,0.7500000000000002,0.9996888637542725,0.979379415512085,-0.0203094482421875,0.9996888637542725,0.979379415512085,-0.0203094482421875,1,0
tess,positivo_correcto_alta_confianza,693,erase_both_transits,Aplana ventanas centrales global y local,1,1,0.7500000000000002,0.9996888637542725,0.07493799179792404,-0.9247508719563484,0.9996888637542725,0.07493799179792404,-0.9247508719563484,0,1
tess,positivo_correcto_alta_confianza,693,deepen_local_transit,Profundiza valores negativos locales,1,1,0.7500000000000002,0.9996888637542725,0.9996674060821533,-2.1457672119140625e-05,0.9996888637542725,0.9996674060821533,-2.1457672119140625e-05,1,0
tess,positivo_correcto_alta_confianza,693,shallow_local_transit,Reduce valores negativos locales,1,1,0.7500000000000002,0.9996888637542725,0.9973161816596985,-0.0023726820945739746,0.9996888637542725,0.9973161816596985,-0.0023726820945739746,1,0
tess,positivo_correcto_alta_confianza,693,deepen_both_transits,Profundiza valores negativos globales y locales,1,1,0.7500000000000002,0.9996888637542725,0.9997143149375916,2.5451183319091797e-05,0.9996888637542725,0.9997143149375916,2.5451183319091797e-05,1,0
tess,positivo_correcto_alta_confianza,693,shallow_both_transits,Reduce valores negativos globales y locales,1,1,0.7500000000000002,0.9996888637542725,0.9919651746749878,-0.007723689079284668,0.9996888637542725,0.9919651746749878,-0.007723689079284668,1,0
tess,negativo_correcto_alta_confianza,802,erase_global_transit,Aplana ventana central global,0,0,0.7500000000000002,1.0817716855626713e-07,2.2393375331830612e-07,1.1575658476203898e-07,0.9999998918228314,0.9999997760662467,-1.1575658476203898e-07,0,0
tess,negativo_correcto_alta_confianza,802,erase_local_transit,Aplana ventana central local,0,0,0.7500000000000002,1.0817716855626713e-07,7.034417137674609e-08,-3.7832997179521044e-08,0.9999998918228314,0.9999999296558286,3.7832997179521044e-08,0,0
tess,negativo_correcto_alta_confianza,802,erase_both_transits,Aplana ventanas centrales global y local,0,0,0.7500000000000002,1.0817716855626713e-07,1.4566508355073893e-07,3.7487914994471794e-08,0.9999998918228314,0.9999998543349164,-3.7487914994471794e-08,0,0
tess,negativo_correcto_alta_confianza,802,deepen_local_transit,Profundiza valores negativos locales,0,0,0.7500000000000002,1.0817716855626713e-07,1.3643142438013456e-07,2.8254255823867425e-08,0.9999998918228314,0.9999998635685756,-2.8254255823867425e-08,0,0
tess,negativo_correcto_alta_confianza,802,shallow_local_transit,Reduce valores negativos locales,0,0,0.7500000000000002,1.0817716855626713e-07,8.688964214798034e-08,-2.1287526408286794e-08,0.9999998918228314,0.9999999131103579,2.1287526408286794e-08,0,0
tess,negativo_correcto_alta_confianza,802,deepen_both_transits,Profundiza valores negativos globales y locales,0,0,0.7500000000000002,1.0817716855626713e-07,1.5801738584286795e-07,4.984021728660082e-08,0.9999998918228314,0.9999998419826142,-4.984021728660082e-08,0,0
tess,negativo_correcto_alta_confianza,802,shallow_both_transits,Reduce valores negativos globales y locales,0,0,0.7500000000000002,1.0817716855626713e-07,1.4107224899362336e-07,3.289508043735623e-08,0.9999998918228314,0.999999858927751,-3.289508043735623e-08,0,0
tess,cerca_del_umbral,1007,erase_global_transit,Aplana ventana central global,0,0,0.7500000000000002,0.7482843995094299,0.022215984761714935,-0.726068414747715,0.25171560049057007,0.9777840152382851,0.726068414747715,0,0
tess,cerca_del_umbral,1007,erase_local_transit,Aplana ventana central local,0,0,0.7500000000000002,0.7482843995094299,0.41601523756980896,-0.33226916193962097,0.25171560049057007,0.583984762430191,0.33226916193962097,0,0
tess,cerca_del_umbral,1007,erase_both_transits,Aplana ventanas centrales global y local,0,0,0.7500000000000002,0.7482843995094299,0.0026585902087390423,-0.7456258093006909,0.25171560049057007,0.997341409791261,0.7456258093006909,0,0
tess,cerca_del_umbral,1007,deepen_local_transit,Profundiza valores negativos locales,0,0,0.7500000000000002,0.7482843995094299,0.7392004132270813,-0.009083986282348633,0.25171560049057007,0.2607995867729187,0.009083986282348633,0,0
tess,cerca_del_umbral,1007,shallow_local_transit,Reduce valores negativos locales,0,0,0.7500000000000002,0.7482843995094299,0.5757386684417725,-0.17254573106765747,0.25171560049057007,0.42426133155822754,0.17254573106765747,0,0
tess,cerca_del_umbral,1007,deepen_both_transits,Profundiza valores negativos globales y locales,0,0,0.7500000000000002,0.7482843995094299,0.8758383393287659,0.12755393981933594,0.25171560049057007,0.12416166067123413,-0.12755393981933594,1,1
tess,cerca_del_umbral,1007,shallow_both_transits,Reduce valores negativos globales y locales,0,0,0.7500000000000002,0.7482843995094299,0.016018012538552284,-0.7322663869708776,0.25171560049057007,0.9839819874614477,0.7322663869708776,0,0
tess,falso_positivo,700,erase_global_transit,Aplana ventana central global,0,1,0.7500000000000002,0.9807037115097046,0.3824231028556824,-0.5982806086540222,0.9807037115097046,0.3824231028556824,-0.5982806086540222,0,1
tess,falso_positivo,700,erase_local_transit,Aplana ventana central local,0,1,0.7500000000000002,0.9807037115097046,0.868330717086792,-0.1123729944229126,0.9807037115097046,0.868330717086792,-0.1123729944229126,1,0
tess,falso_positivo,700,erase_both_transits,Aplana ventanas centrales global y local,0,1,0.7500000000000002,0.9807037115097046,0.07459982484579086,-0.9061038866639137,0.9807037115097046,0.07459982484579086,-0.9061038866639137,0,1
tess,falso_positivo,700,deepen_local_transit,Profundiza valores negativos locales,0,1,0.7500000000000002,0.9807037115097046,0.9390724301338196,-0.04163128137588501,0.9807037115097046,0.9390724301338196,-0.04163128137588501,1,0
tess,falso_positivo,700,shallow_local_transit,Reduce valores negativos locales,0,1,0.7500000000000002,0.9807037115097046,0.9610611796379089,-0.019642531871795654,0.9807037115097046,0.9610611796379089,-0.019642531871795654,1,0
tess,falso_positivo,700,deepen_both_transits,Profundiza valores negativos globales y locales,0,1,0.7500000000000002,0.9807037115097046,0.9188982248306274,-0.06180548667907715,0.9807037115097046,0.9188982248306274,-0.06180548667907715,1,0
tess,falso_positivo,700,shallow_both_transits,Reduce valores negativos globales y locales,0,1,0.7500000000000002,0.9807037115097046,0.9504036903381348,-0.030300021171569824,0.9807037115097046,0.9504036903381348,-0.030300021171569824,1,0
tess,falso_negativo,495,erase_global_transit,Aplana ventana central global,1,0,0.7500000000000002,0.00029729874222539365,0.002166335005313158,0.0018690362630877644,0.9997027012577746,0.9978336649946868,-0.0018690362630877644,0,0
tess,falso_negativo,495,erase_local_transit,Aplana ventana central local,1,0,0.7500000000000002,0.00029729874222539365,0.0035425371024757624,0.0032452383602503687,0.9997027012577746,0.9964574628975242,-0.0032452383602503687,0,0
tess,falso_negativo,495,erase_both_transits,Aplana ventanas centrales global y local,1,0,0.7500000000000002,0.00029729874222539365,0.03193417191505432,0.03163687317282893,0.9997027012577746,0.9680658280849457,-0.03163687317282893,0,0
tess,falso_negativo,495,deepen_local_transit,Profundiza valores negativos locales,1,0,0.7500000000000002,0.00029729874222539365,0.0002637015131767839,-3.3597229048609734e-05,0.9997027012577746,0.9997362984868232,3.3597229048609734e-05,0,0
tess,falso_negativo,495,shallow_local_transit,Reduce valores negativos locales,1,0,0.7500000000000002,0.00029729874222539365,0.0017009676666930318,0.0014036689244676381,0.9997027012577746,0.998299032333307,-0.0014036689244676381,0,0
tess,falso_negativo,495,deepen_both_transits,Profundiza valores negativos globales y locales,1,0,0.7500000000000002,0.00029729874222539365,0.0002688201784621924,-2.8478563763201237e-05,0.9997027012577746,0.9997311798215378,2.8478563763201237e-05,0,0
tess,falso_negativo,495,shallow_both_transits,Reduce valores negativos globales y locales,1,0,0.7500000000000002,0.00029729874222539365,0.0016361597226932645,0.0013388609804678708,0.9997027012577746,0.9983638402773067,-0.0013388609804678708,0,0
tess,mayor_incertidumbre_mc_dropout,1255,erase_global_transit,Aplana ventana central global,0,0,0.7500000000000002,0.4669552445411682,0.40711531043052673,-0.05983993411064148,0.5330447554588318,0.5928846895694733,0.05983993411064148,0,0
tess,mayor_incertidumbre_mc_dropout,1255,erase_local_transit,Aplana ventana central local,0,0,0.7500000000000002,0.4669552445411682,0.009384279139339924,-0.4575709654018283,0.5330447554588318,0.9906157208606601,0.4575709654018283,0,0
tess,mayor_incertidumbre_mc_dropout,1255,erase_both_transits,Aplana ventanas centrales global y local,0,0,0.7500000000000002,0.4669552445411682,0.008111139759421349,-0.45884410478174686,0.5330447554588318,0.9918888602405787,0.45884410478174686,0,0
tess,mayor_incertidumbre_mc_dropout,1255,deepen_local_transit,Profundiza valores negativos locales,0,0,0.7500000000000002,0.4669552445411682,0.49466440081596375,0.027709156274795532,0.5330447554588318,0.5053355991840363,-0.027709156274795532,0,0
tess,mayor_incertidumbre_mc_dropout,1255,shallow_local_transit,Reduce valores negativos locales,0,0,0.7500000000000002,0.4669552445411682,0.0436442568898201,-0.4233109876513481,0.5330447554588318,0.9563557431101799,0.4233109876513481,0,0
tess,mayor_incertidumbre_mc_dropout,1255,deepen_both_transits,Profundiza valores negativos globales y locales,0,0,0.7500000000000002,0.4669552445411682,0.38798749446868896,-0.07896775007247925,0.5330447554588318,0.612012505531311,0.07896775007247925,0,0
tess,mayor_incertidumbre_mc_dropout,1255,shallow_both_transits,Reduce valores negativos globales y locales,0,0,0.7500000000000002,0.4669552445411682,0.08433737605810165,-0.38261786848306656,0.5330447554588318,0.9156626239418983,0.38261786848306656,0,0
